unix,date,symbol,open,high,low,close
1693396800,30.08.23 12:00,BTC/USD,27337,27416,27295,27350
1693393200,30.08.23 11:00,BTC/USD,27436,27436,27334,27341
1693389600,30.08.23 10:00,BTC/USD,27425,27448,27397,27436
1693386000,30.08.23 09:00,BTC/USD,27468,27468,27318,27421
1693382400,30.08.23 08:00,BTC/USD,27437,27491,27409,27471
1693378800,30.08.23 07:00,BTC/USD,27388,27462,27383,27437
1693375200,30.08.23 06:00,BTC/USD,27468,27468,27384,27387
1693371600,30.08.23 05:00,BTC/USD,27439,27469,27438,27468
1693368000,30.08.23 04:00,BTC/USD,27412,27441,27403,27441
1693364400,30.08.23 03:00,BTC/USD,27405,27412,27298,27400
1693360800,30.08.23 02:00,BTC/USD,27558,27560,27372,27405
1693357200,30.08.23 01:00,BTC/USD,27629,27645,27483,27554
1693353600,30.08.23 00:00,BTC/USD,27722,27757,27630,27631
1693350000,29.08.23 23:00,BTC/USD,27642,27773,27578,27726
1693346400,29.08.23 22:00,BTC/USD,27663,27700,27546,27642
1693342800,29.08.23 21:00,BTC/USD,27578,27731,27576,27666
1693339200,29.08.23 20:00,BTC/USD,27855,27885,27571,27598
1693335600,29.08.23 19:00,BTC/USD,27985,28000,27837,27847
1693332000,29.08.23 18:00,BTC/USD,27894,28018,27841,27985
1693328400,29.08.23 17:00,BTC/USD,28006,28074,27803,27886
1693324800,29.08.23 16:00,BTC/USD,27424,28142,27351,28003
1693321200,29.08.23 15:00,BTC/USD,27524,27573,27290,27421
1693317600,29.08.23 14:00,BTC/USD,26034,27723,26034,27527
1693314000,29.08.23 13:00,BTC/USD,26030,26077,25996,26034
1693310400,29.08.23 12:00,BTC/USD,25961,26028,25949,26028
1693306800,29.08.23 11:00,BTC/USD,25960,26022,25949,25961
1693303200,29.08.23 10:00,BTC/USD,25973,25974,25913,25963
1693299600,29.08.23 09:00,BTC/USD,25946,25974,25943,25974
1693296000,29.08.23 08:00,BTC/USD,25985,25995,25943,25943
1693292400,29.08.23 07:00,BTC/USD,25996,26030,25980,25995
1693288800,29.08.23 06:00,BTC/USD,26044,26044,25996,25996
1693285200,29.08.23 05:00,BTC/USD,26040,26068,26022,26047
1693281600,29.08.23 04:00,BTC/USD,26064,26075,26033,26033
1693278000,29.08.23 03:00,BTC/USD,26083,26087,26049,26070
1693274400,29.08.23 02:00,BTC/USD,26092,26095,26065,26087
1693270800,29.08.23 01:00,BTC/USD,26124,26181,26083,26092
1693267200,29.08.23 00:00,BTC/USD,26103,26140,26068,26124
1693263600,28.08.23 23:00,BTC/USD,26045,26151,26035,26103
1693260000,28.08.23 22:00,BTC/USD,25970,26046,25969,26045
1693256400,28.08.23 21:00,BTC/USD,25979,25998,25947,25973
1693252800,28.08.23 20:00,BTC/USD,25975,26005,25963,25979
1693249200,28.08.23 19:00,BTC/USD,26134,26140,25915,25976
1693245600,28.08.23 18:00,BTC/USD,26130,26135,26090,26134
1693242000,28.08.23 17:00,BTC/USD,26137,26171,26125,26130
1693238400,28.08.23 16:00,BTC/USD,26088,26140,26083,26134
1693234800,28.08.23 15:00,BTC/USD,26124,26164,26046,26085
1693231200,28.08.23 14:00,BTC/USD,26090,26137,26071,26122
1693227600,28.08.23 13:00,BTC/USD,26124,26138,26078,26088
1693224000,28.08.23 12:00,BTC/USD,25986,26223,25972,26122
1693220400,28.08.23 11:00,BTC/USD,25931,25985,25928,25984
1693216800,28.08.23 10:00,BTC/USD,25917,25943,25899,25933
1693213200,28.08.23 09:00,BTC/USD,25951,25952,25856,25917
1693209600,28.08.23 08:00,BTC/USD,25921,25962,25908,25953
1693206000,28.08.23 07:00,BTC/USD,25932,25939,25881,25921
1693202400,28.08.23 06:00,BTC/USD,25950,25974,25921,25932
1693198800,28.08.23 05:00,BTC/USD,26014,26019,25880,25953
1693195200,28.08.23 04:00,BTC/USD,25999,26025,25998,26014
1693191600,28.08.23 03:00,BTC/USD,26014,26038,26000,26000
1693188000,28.08.23 02:00,BTC/USD,26009,26046,26005,26020
1693184400,28.08.23 01:00,BTC/USD,26011,26046,25987,26014
1693180800,28.08.23 00:00,BTC/USD,26087,26092,25983,26021
1693177200,27.08.23 23:00,BTC/USD,26078,26099,26059,26090
1693173600,27.08.23 22:00,BTC/USD,26060,26081,26038,26081
1693170000,27.08.23 21:00,BTC/USD,26080,26115,26036,26060
1693166400,27.08.23 20:00,BTC/USD,26113,26116,26079,26088
1693162800,27.08.23 19:00,BTC/USD,26097,26141,26088,26115
1693159200,27.08.23 18:00,BTC/USD,26052,26099,26039,26096
1693155600,27.08.23 17:00,BTC/USD,26154,26168,26046,26053
1693152000,27.08.23 16:00,BTC/USD,26106,26156,26106,26156
1693148400,27.08.23 15:00,BTC/USD,26139,26152,26106,26106
1693144800,27.08.23 14:00,BTC/USD,26071,26155,26071,26139
1693141200,27.08.23 13:00,BTC/USD,26066,26074,26058,26070
1693137600,27.08.23 12:00,BTC/USD,26053,26065,26048,26064
1693134000,27.08.23 11:00,BTC/USD,26070,26070,26052,26053
1693130400,27.08.23 10:00,BTC/USD,26058,26074,26058,26073
1693126800,27.08.23 09:00,BTC/USD,26047,26058,26037,26058
1693123200,27.08.23 08:00,BTC/USD,26035,26052,26024,26044
1693119600,27.08.23 07:00,BTC/USD,26030,26036,26029,26030
1693116000,27.08.23 06:00,BTC/USD,26025,26036,26020,26030
1693112400,27.08.23 05:00,BTC/USD,26024,26030,26016,26022
1693108800,27.08.23 04:00,BTC/USD,26008,26024,26008,26024
1693105200,27.08.23 03:00,BTC/USD,25990,26008,25989,26007
1693101600,27.08.23 02:00,BTC/USD,25983,26002,25983,25990
1693098000,27.08.23 01:00,BTC/USD,25991,26003,25962,25983
1693094400,27.08.23 00:00,BTC/USD,26007,26015,25990,25992
1693090800,26.08.23 23:00,BTC/USD,26022,26024,25985,26008
1693087200,26.08.23 22:00,BTC/USD,26027,26030,26021,26022
1693083600,26.08.23 21:00,BTC/USD,26018,26027,26008,26027
1693080000,26.08.23 20:00,BTC/USD,26026,26030,26011,26023
1693076400,26.08.23 19:00,BTC/USD,26011,26030,26008,26028
1693072800,26.08.23 18:00,BTC/USD,26020,26020,26001,26011
1693069200,26.08.23 17:00,BTC/USD,26031,26031,26002,26021
1693065600,26.08.23 16:00,BTC/USD,26043,26048,26008,26032
1693062000,26.08.23 15:00,BTC/USD,26046,26052,26041,26042
1693058400,26.08.23 14:00,BTC/USD,26024,26046,26014,26046
1693054800,26.08.23 13:00,BTC/USD,26012,26024,26010,26024
1693051200,26.08.23 12:00,BTC/USD,26029,26030,25976,26011
1693047600,26.08.23 11:00,BTC/USD,26022,26030,26019,26030
1693044000,26.08.23 10:00,BTC/USD,26002,26022,26000,26010
1693040400,26.08.23 09:00,BTC/USD,26023,26024,26000,26002
1693036800,26.08.23 08:00,BTC/USD,26037,26048,25995,26024
1693033200,26.08.23 07:00,BTC/USD,26067,26071,26036,26039
1693029600,26.08.23 06:00,BTC/USD,26050,26070,26041,26070
1693026000,26.08.23 05:00,BTC/USD,26064,26064,26046,26050
1693022400,26.08.23 04:00,BTC/USD,26072,26072,26049,26061
1693018800,26.08.23 03:00,BTC/USD,26064,26077,26050,26073
1693015200,26.08.23 02:00,BTC/USD,26037,26102,26037,26064
1693011600,26.08.23 01:00,BTC/USD,26029,26065,26029,26037
1693008000,26.08.23 00:00,BTC/USD,26050,26071,26028,26034
1693004400,25.08.23 23:00,BTC/USD,26046,26050,26025,26048
1693000800,25.08.23 22:00,BTC/USD,26063,26068,26030,26046
1692997200,25.08.23 21:00,BTC/USD,26041,26068,26015,26068
1692993600,25.08.23 20:00,BTC/USD,25945,26060,25939,26045
1692990000,25.08.23 19:00,BTC/USD,26034,26046,25936,25956
1692986400,25.08.23 18:00,BTC/USD,25871,26041,25864,26035
1692982800,25.08.23 17:00,BTC/USD,25924,25969,25816,25872
1692979200,25.08.23 16:00,BTC/USD,25916,26011,25893,25923
1692975600,25.08.23 15:00,BTC/USD,25804,26012,25790,25930
1692972000,25.08.23 14:00,BTC/USD,26051,26281,25748,25791
1692968400,25.08.23 13:00,BTC/USD,26104,26224,26043,26054
1692964800,25.08.23 12:00,BTC/USD,26092,26130,26090,26104
1692961200,25.08.23 11:00,BTC/USD,26083,26105,26073,26091
1692957600,25.08.23 10:00,BTC/USD,26073,26106,26066,26079
1692954000,25.08.23 09:00,BTC/USD,26089,26111,26073,26074
1692950400,25.08.23 08:00,BTC/USD,25969,26105,25955,26088
1692946800,25.08.23 07:00,BTC/USD,26008,26057,25958,25962
1692943200,25.08.23 06:00,BTC/USD,26050,26055,25985,26009
1692939600,25.08.23 05:00,BTC/USD,26023,26072,26008,26056
1692936000,25.08.23 04:00,BTC/USD,26102,26103,26019,26023
1692932400,25.08.23 03:00,BTC/USD,26119,26131,26015,26101
1692928800,25.08.23 02:00,BTC/USD,26138,26171,26111,26122
1692925200,25.08.23 01:00,BTC/USD,26132,26146,26087,26138
1692921600,25.08.23 00:00,BTC/USD,26169,26175,26109,26130
1692918000,24.08.23 23:00,BTC/USD,26111,26188,26062,26168
1692914400,24.08.23 22:00,BTC/USD,26086,26124,26077,26111
1692910800,24.08.23 21:00,BTC/USD,26010,26086,26010,26086
1692907200,24.08.23 20:00,BTC/USD,26025,26094,25926,26013
1692903600,24.08.23 19:00,BTC/USD,26008,26127,25992,26016
1692900000,24.08.23 18:00,BTC/USD,26041,26057,25966,26010
1692896400,24.08.23 17:00,BTC/USD,26097,26109,25852,26041
1692892800,24.08.23 16:00,BTC/USD,25987,26154,25983,26097
1692889200,24.08.23 15:00,BTC/USD,26099,26155,25980,25980
1692885600,24.08.23 14:00,BTC/USD,26339,26354,26065,26102
1692882000,24.08.23 13:00,BTC/USD,26377,26409,26279,26341
1692878400,24.08.23 12:00,BTC/USD,26438,26438,26372,26377
1692874800,24.08.23 11:00,BTC/USD,26465,26525,26436,26436
1692871200,24.08.23 10:00,BTC/USD,26432,26472,26408,26469
1692867600,24.08.23 09:00,BTC/USD,26490,26562,26427,26432
1692864000,24.08.23 08:00,BTC/USD,26476,26491,26418,26491
1692860400,24.08.23 07:00,BTC/USD,26445,26488,26428,26472
1692856800,24.08.23 06:00,BTC/USD,26415,26502,26390,26447
1692853200,24.08.23 05:00,BTC/USD,26451,26477,26412,26416
1692849600,24.08.23 04:00,BTC/USD,26435,26468,26408,26455
1692846000,24.08.23 03:00,BTC/USD,26371,26441,26371,26438
1692842400,24.08.23 02:00,BTC/USD,26348,26409,26348,26371
1692838800,24.08.23 01:00,BTC/USD,26510,26523,26348,26348
1692835200,24.08.23 00:00,BTC/USD,26429,26532,26424,26509
1692831600,23.08.23 23:00,BTC/USD,26445,26532,26408,26431
1692828000,23.08.23 22:00,BTC/USD,26319,26476,26299,26454
1692824400,23.08.23 21:00,BTC/USD,26585,26618,26223,26322
1692820800,23.08.23 20:00,BTC/USD,26619,26711,26536,26590
1692817200,23.08.23 19:00,BTC/USD,26451,26800,26441,26626
1692813600,23.08.23 18:00,BTC/USD,26531,26557,26430,26458
1692810000,23.08.23 17:00,BTC/USD,26390,26598,26359,26539
1692806400,23.08.23 16:00,BTC/USD,26134,26468,26119,26383
1692802800,23.08.23 15:00,BTC/USD,26032,26167,26013,26130
1692799200,23.08.23 14:00,BTC/USD,26010,26118,25916,26031
1692795600,23.08.23 13:00,BTC/USD,25830,26019,25805,26006
1692792000,23.08.23 12:00,BTC/USD,25926,25953,25828,25832
1692788400,23.08.23 11:00,BTC/USD,25959,25959,25904,25926
1692784800,23.08.23 10:00,BTC/USD,26030,26030,25952,25959
1692781200,23.08.23 09:00,BTC/USD,26026,26044,26004,26031
1692777600,23.08.23 08:00,BTC/USD,26051,26078,26019,26021
1692774000,23.08.23 07:00,BTC/USD,26060,26115,26008,26051
1692770400,23.08.23 06:00,BTC/USD,26042,26165,26030,26043
1692766800,23.08.23 05:00,BTC/USD,26038,26043,25984,26041
1692763200,23.08.23 04:00,BTC/USD,25994,26046,25972,26044
1692759600,23.08.23 03:00,BTC/USD,26039,26066,25984,25999
1692756000,23.08.23 02:00,BTC/USD,26047,26081,26023,26031
1692752400,23.08.23 01:00,BTC/USD,26029,26069,25985,26041
1692748800,23.08.23 00:00,BTC/USD,26048,26171,26022,26029
1692745200,22.08.23 23:00,BTC/USD,25802,26049,25777,26042
1692741600,22.08.23 22:00,BTC/USD,25660,25844,25639,25803
1692738000,22.08.23 21:00,BTC/USD,25850,25889,25350,25674
1692734400,22.08.23 20:00,BTC/USD,25776,25863,25776,25857
1692730800,22.08.23 19:00,BTC/USD,25898,25950,25764,25770
1692727200,22.08.23 18:00,BTC/USD,25822,25994,25766,25901
1692723600,22.08.23 17:00,BTC/USD,26024,26024,25721,25822
1692720000,22.08.23 16:00,BTC/USD,25918,26043,25790,26012
1692716400,22.08.23 15:00,BTC/USD,25983,26014,25912,25929
1692712800,22.08.23 14:00,BTC/USD,25992,26044,25949,25984
1692709200,22.08.23 13:00,BTC/USD,26040,26051,25969,25995
1692705600,22.08.23 12:00,BTC/USD,26043,26090,26040,26041
1692702000,22.08.23 11:00,BTC/USD,26037,26059,26023,26047
1692698400,22.08.23 10:00,BTC/USD,26042,26055,26020,26036
1692694800,22.08.23 09:00,BTC/USD,26053,26075,26030,26044
1692691200,22.08.23 08:00,BTC/USD,26097,26102,26045,26055
1692687600,22.08.23 07:00,BTC/USD,26057,26105,26053,26093
1692684000,22.08.23 06:00,BTC/USD,26040,26080,26023,26057
1692680400,22.08.23 05:00,BTC/USD,26007,26040,25997,26038
1692676800,22.08.23 04:00,BTC/USD,26049,26049,26000,26009
1692673200,22.08.23 03:00,BTC/USD,26058,26066,26020,26050
1692669600,22.08.23 02:00,BTC/USD,26042,26064,26036,26058
1692666000,22.08.23 01:00,BTC/USD,26097,26106,26040,26040
1692662400,22.08.23 00:00,BTC/USD,26125,26137,26091,26097
1692658800,21.08.23 23:00,BTC/USD,26132,26149,26115,26125
